Location,Sex,year,age,px,fx
Colombia,Female,1955,99,0.58903854,0
Colombia,Female,1955,100,0,0
Colombia,Female,1956,0,0.89804313,0
Colombia,Female,1956,1,0.97650238,0
Colombia,Female,1956,2,0.98418742,0
Colombia,Female,1956,3,0.98916991,0
Colombia,Female,1956,4,0.99239951,0
Colombia,Female,1956,5,0.99458589,0
Colombia,Female,1956,6,0.99601104,0
Colombia,Female,1956,7,0.99686114,0
Colombia,Female,1956,8,0.99732265,0
Colombia,Female,1956,9,0.99756993,0
Colombia,Female,1956,10,0.99777345,0
Colombia,Female,1956,11,0.99786008,0
Colombia,Female,1956,12,0.99784627,0
Colombia,Female,1956,13,0.99775627,0
Colombia,Female,1956,14,0.99761657,0
Colombia,Female,1956,15,0.99744071,0.036883000000000006
Colombia,Female,1956,16,0.99724476,0.06923399999999999
Colombia,Female,1956,17,0.99704795,0.112176
