Location,Sex,year,age,px
Colombia,Male,1952,72,0.92044968
Colombia,Male,1952,73,0.91379519
Colombia,Male,1952,74,0.90690593
Colombia,Male,1952,75,0.89968371
Colombia,Male,1952,76,0.89199226
Colombia,Male,1952,77,0.88364851
Colombia,Male,1952,78,0.87445208
Colombia,Male,1952,79,0.86429716
Colombia,Male,1952,80,0.85315576
Colombia,Male,1952,81,0.84106715
Colombia,Male,1952,82,0.82811968
Colombia,Male,1952,83,0.8142678
Colombia,Male,1952,84,0.79960456
Colombia,Male,1952,85,0.78454108
Colombia,Male,1952,86,0.76946497
Colombia,Male,1952,87,0.75462638
Colombia,Male,1952,88,0.73993066
Colombia,Male,1952,89,0.72500415
Colombia,Male,1952,90,0.70958471
Colombia,Male,1952,91,0.6933605
Colombia,Male,1952,92,0.67613194
Colombia,Male,1952,93,0.6579343
Colombia,Male,1952,94,0.63903847
Colombia,Male,1952,95,0.62517247
Colombia,Male,1952,96,0.60933533
Colombia,Male,1952,97,0.59398021
Colombia,Male,1952,98,0.57913392
Colombia,Male,1952,99,0.56476737
Colombia,Male,1952,100,0
Colombia,Male,1953,0,0.87432394
Colombia,Male,1953,1,0.97210703
Colombia,Male,1953,2,0.98092546
Colombia,Male,1953,3,0.98671649
Colombia,Male,1953,4,0.99054954
Colombia,Male,1953,5,0.99318538
Colombia,Male,1953,6,0.99492905
Colombia,Male,1953,7,0.99598786
Colombia,Male,1953,8,0.99657441
Colombia,Male,1953,9,0.99689266
Colombia,Male,1953,10,0.99713958
Colombia,Male,1953,11,0.99724275
Colombia,Male,1953,12,0.99722467
Colombia,Male,1953,13,0.99706666
Colombia,Male,1953,14,0.99676144
Colombia,Male,1953,15,0.99633678
Colombia,Male,1953,16,0.9958232
Colombia,Male,1953,17,0.9952572
Colombia,Male,1953,18,0.99461841
Colombia,Male,1953,19,0.99392231
Colombia,Male,1953,20,0.99326943
Colombia,Male,1953,21,0.99276352
Colombia,Male,1953,22,0.99249115
Colombia,Male,1953,23,0.99242363
Colombia,Male,1953,24,0.99245737
Colombia,Male,1953,25,0.99255216
Colombia,Male,1953,26,0.99265934
Colombia,Male,1953,27,0.99273437
Colombia,Male,1953,28,0.99278602
Colombia,Male,1953,29,0.99281431
Colombia,Male,1953,30,0.99279799
Colombia,Male,1953,31,0.99272229
Colombia,Male,1953,32,0.99257282
Colombia,Male,1953,33,0.99237383
Colombia,Male,1953,34,0.99215931
Colombia,Male,1953,35,0.99192914
Colombia,Male,1953,36,0.99167788
Colombia,Male,1953,37,0.99139739
Colombia,Male,1953,38,0.99108935
Colombia,Male,1953,39,0.99075339
Colombia,Male,1953,40,0.99038612
Colombia,Male,1953,41,0.98998756
Colombia,Male,1953,42,0.98955545
Colombia,Male,1953,43,0.98908872
Colombia,Male,1953,44,0.98858461
Colombia,Male,1953,45,0.9880339
Colombia,Male,1953,46,0.98742414
Colombia,Male,1953,47,0.98674029
Colombia,Male,1953,48,0.98597385
Colombia,Male,1953,49,0.98512115
Colombia,Male,1953,50,0.98419163
Colombia,Male,1953,51,0.98320663
Colombia,Male,1953,52,0.98218115
Colombia,Male,1953,53,0.98111506
Colombia,Male,1953,54,0.97999024
Colombia,Male,1953,55,0.97877308
Colombia,Male,1953,56,0.97741815
Colombia,Male,1953,57,0.97586774
Colombia,Male,1953,58,0.97407911
Colombia,Male,1953,59,0.97202676
Colombia,Male,1953,60,0.9697177
Colombia,Male,1953,61,0.96720199
Colombia,Male,1953,62,0.96452822
Colombia,Male,1953,63,0.96173199
Colombia,Male,1953,64,0.95881151
Colombia,Male,1953,65,0.95570311
Colombia,Male,1953,66,0.9523121
Colombia,Male,1953,67,0.94850941
Colombia,Male,1953,68,0.94415915
Colombia,Male,1953,69,0.93919749
Colombia,Male,1953,70,0.93364763
Colombia,Male,1953,71,0.92761429
Colombia,Male,1953,72,0.921216
Colombia,Male,1953,73,0.91455782
Colombia,Male,1953,74,0.90765262
Colombia,Male,1953,75,0.90040621
Colombia,Male,1953,76,0.89268827
Colombia,Male,1953,77,0.88432258
Colombia,Male,1953,78,0.87512458
Colombia,Male,1953,79,0.86499315
Colombia,Male,1953,80,0.85388633
Colombia,Male,1953,81,0.8418218
Colombia,Male,1953,82,0.82886656
Colombia,Male,1953,83,0.81496982
Colombia,Male,1953,84,0.80021708
Colombia,Male,1953,85,0.78501314
Colombia,Male,1953,86,0.76974604
Colombia,Male,1953,87,0.75467033
Colombia,Male,1953,88,0.73962001
Colombia,Male,1953,89,0.72423448
Colombia,Male,1953,90,0.7083758
Colombia,Male,1953,91,0.69184058
Colombia,Male,1953,92,0.67452562
Colombia,Male,1953,93,0.65645697
Colombia,Male,1953,94,0.6377609
Colombia,Male,1953,95,0.62391511
Colombia,Male,1953,96,0.60809402
Colombia,Male,1953,97,0.59257072
Colombia,Male,1953,98,0.57736098
Colombia,Male,1953,99,0.56248645
Colombia,Male,1953,100,0
Colombia,Male,1954,0,0.8772207
Colombia,Male,1954,1,0.97330868
Colombia,Male,1954,2,0.98176295
Colombia,Male,1954,3,0.98730334
Colombia,Male,1954,4,0.990966
Colombia,Male,1954,5,0.99348308
Colombia,Male,1954,6,0.99514691
Colombia,Male,1954,7,0.99615596
Colombia,Male,1954,8,0.99671365
Colombia,Male,1954,9,0.99701481
Colombia,Male,1954,10,0.99724751
Colombia,Male,1954,11,0.99734184
Colombia,Male,1954,12,0.99731892
Colombia,Male,1954,13,0.99716025
Colombia,Male,1954,14,0.99685886
Colombia,Male,1954,15,0.99644207
Colombia,Male,1954,16,0.99594035
Colombia,Male,1954,17,0.99539049
Colombia,Male,1954,18,0.99477367
Colombia,Male,1954,19,0.99410562
Colombia,Male,1954,20,0.99348332
Colombia,Male,1954,21,0.99300565
Colombia,Male,1954,22,0.99275428
Colombia,Male,1954,23,0.99269879
Colombia,Male,1954,24,0.99273777
Colombia,Male,1954,25,0.99283265
Colombia,Male,1954,26,0.99293771
Colombia,Male,1954,27,0.99301137
Colombia,Male,1954,28,0.99306304
Colombia,Male,1954,29,0.99309318
Colombia,Male,1954,30,0.99308081
