1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
76.257,78.481,80.587,82.775,85.021,87.414,89.743,92.221,94.652,96.726,98.681,100.585,103.173,105.723,107.716,109.035,111.025,112.987,115.313,118.367,122.402,126.614,130.839,135.677,141.016,146.542,152.142,157.453,162.819,167.447,180.172,187.686,195.443,204.561,214.263,223.99,233.916,243.87,254.039,264.248,274.013,283.867,292.519,300.849,307.73,313.427,317.372,319.812,321.312,321.601,321.064,320.559,320.348,320.851,322.774,326.119,331.166,337.929,343.502,345.539,351.656,359.446,366.172,372.533,374.009,371.843,371.363,377.538,389.064,402.753,417.083,429.324,441.027,453.045
72.95,75.257,77.478,79.546,81.636,83.9,86.278,88.592,91.052,93.31,95.59,97.586,99.515,102.073,104.59,106.568,107.924,109.807,111.807,114.074,117.095,121.106,125.043,129.37,134.235,139.504,144.987,150.398,156.171,161.543,166.235,179.234,186.648,194.599,204.064,213.686,223.21,232.982,243.024,253.351,263.608,273.57,282.806,291.943,300.043,307.137,312.582,316.611,319.117,320.847,320.904,320.292,319.784,319.646,320.041,322.081,325.209,330.341,336.961,342.341,344.605,350.887,358.512,365.104,371.347,372.792,370.99,372.599,383.547,396.009,408.248,420.063,431.78,443.364
70.753,71.996,74.299,76.485,78.462,80.569,82.82,85.182,87.481,89.78,92.228,94.545,96.565,98.468,100.993,103.495,105.507,106.766,108.684,110.63,112.868,115.869,119.625,123.658,128.01,132.812,138.039,143.346,149.187,154.966,160.396,165.353,178.251,185.847,194.113,203.503,212.935,222.321,232.176,242.364,252.735,263.173,272.56,282.242,291.165,299.463,306.325,311.845,315.935,318.654,320.167,320.153,319.538,319.1,318.864,319.368,321.212,324.401,329.398,335.826,341.42,343.85,349.974,357.47,363.944,370.151,371.943,372.102,378.143,389.957,401.075,410.978,422.291,433.915
69.382,69.838,71.084,73.354,75.453,77.446,79.542,81.779,84.127,86.277,88.753,91.234,93.572,95.566,97.442,99.953,102.484,104.404,105.697,107.566,109.485,111.706,114.471,118.315,122.37,126.662,131.425,136.49,142.196,148.043,153.876,159.55,164.428,177.489,185.369,193.569,202.774,212.085,221.547,231.538,241.767,252.303,262.209,272.005,281.49,290.596,298.679,305.607,311.184,315.472,317.993,319.435,319.418,318.868,318.341,318.207,318.533,320.413,323.473,328.283,334.918,340.671,342.951,348.953,356.329,362.766,369.303,372.931,377.188,384.033,394.605,403.558,412.987,424.229
68.124,68.499,68.963,70.184,72.374,74.488,76.47,78.552,80.777,82.988,85.302,87.807,90.306,92.62,94.588,96.454,98.991,101.435,103.384,104.635,106.477,108.379,110.38,113.227,117.09,121.085,125.339,129.952,135.389,141.103,147.001,153.059,158.663,163.709,177.016,184.841,192.854,201.958,211.336,220.923,230.953,241.335,251.378,261.658,271.275,280.928,289.835,297.975,304.957,310.717,314.823,317.279,318.717,318.757,318.127,317.693,317.397,317.741,319.502,322.385,327.394,334.181,339.788,341.955,347.843,355.182,361.932,370.173,377.573,382.573,388.277,396.843,405.357,414.736
66.558,67.27,67.653,68.101,69.255,71.457,73.558,75.528,77.601,79.7,82.062,84.402,86.924,89.4,91.688,93.645,95.537,97.994,100.464,102.371,103.597,105.419,107.115,109.19,112.053,115.855,119.812,123.928,128.888,134.337,140.102,146.207,152.205,157.967,163.249,176.504,184.132,192.069,201.228,210.72,220.347,230.516,240.444,250.83,260.946,270.716,280.184,289.141,297.333,304.483,310.077,314.125,316.575,318.063,318.029,317.486,316.902,316.613,316.847,318.447,321.521,326.673,333.319,338.818,340.882,346.734,354.366,362.692,374.396,382.474,386.429,390.277,398.441,406.924
65.55,65.735,66.451,66.82,67.212,68.382,70.572,72.661,74.623,76.581,78.818,81.205,83.561,86.059,88.512,90.788,92.768,94.589,97.068,99.499,101.377,102.582,104.211,105.972,108.061,110.862,114.625,118.453,122.894,127.869,133.369,139.328,145.38,151.528,157.505,162.76,175.797,183.371,191.355,200.617,210.149,219.903,229.656,239.897,250.135,260.388,269.986,279.498,288.505,296.85,303.849,309.39,313.433,315.926,317.343,317.39,316.706,316.118,315.728,315.82,317.602,320.811,325.83,332.374,337.774,339.808,345.935,355.019,366.522,378.845,385.961,388.194,391.682,399.834
63.37,64.748,64.941,65.644,65.964,66.375,67.539,69.716,71.799,73.655,75.741,78.001,80.4,82.735,85.212,87.652,89.947,91.862,93.705,96.147,98.547,100.401,101.425,103.11,104.883,106.908,109.675,113.317,117.449,121.908,126.935,132.615,138.526,144.718,151.063,157.023,162.075,175.06,182.672,190.751,200.052,209.698,219.07,229.109,239.217,249.578,259.672,269.307,278.866,288.012,296.22,303.173,308.708,312.785,315.211,316.703,316.618,315.921,315.239,314.721,314.987,316.896,319.981,324.907,331.36,336.726,339.021,346.49,358.484,370.552,381.989,387.5,389.405,392.909
60.209,62.596,63.972,64.158,64.815,65.154,65.565,66.722,68.893,70.878,72.852,74.96,77.231,79.61,81.925,84.388,86.846,89.079,91.014,92.826,95.237,97.61,99.292,100.368,102.062,103.773,105.768,108.424,112.348,116.499,121.008,126.202,131.838,137.875,144.25,150.585,156.341,161.374,174.378,182.076,190.195,199.597,208.893,218.526,228.443,238.663,248.876,259.002,268.681,278.366,287.385,295.549,302.495,308.058,312.073,314.57,315.936,315.834,315.051,314.256,313.9,314.287,316.081,319.082,323.925,330.346,335.951,339.483,349.618,362.126,373.382,383.322,388.514,390.467
56.899,59.467,61.844,63.207,63.355,64.028,64.367,64.778,65.935,68.016,70.108,72.103,74.22,76.473,78.832,81.136,83.614,86.013,88.264,90.169,91.954,94.338,96.552,98.279,99.364,101.002,102.685,104.581,107.499,111.441,115.638,120.3,125.451,131.196,137.404,143.772,149.916,155.659,160.729,173.796,181.529,189.739,198.819,208.354,217.875,227.895,237.977,248.219,258.383,268.175,277.741,286.718,294.872,301.842,307.349,311.43,313.811,315.148,314.962,314.073,313.432,313.194,313.472,315.189,318.114,322.926,329.573,336.322,342.3,352.903,364.666,374.534,384.144,389.415
